url,stage,apartment number,floor,total area,rooms,internal area,external area,status,price with VAT,discounted price
https://www.ceresne.sk/ponuka-bytov/byt/p37/,Residence,P37,3,"109,10",4,"97,27","11,83",Voľný,458335,426358
https://www.ceresne.sk/ponuka-bytov/byt/r155/,Residence,R155,15,"55,29",2,"49,37","5,92",Voľný,306120,284763
https://www.ceresne.sk/ponuka-bytov/byt/u67/,Plaza,U67,6,"47,75",2,"43,81","3,94",Rezervovaný,-,-
https://www.ceresne.sk/ponuka-bytov/byt/u182/,Plaza,U182,18,"100,87",4,"95,64","5,23",Voľný,515066,447884
https://www.ceresne.sk/ponuka-bytov/byt/u145/,Plaza,U145,14,"117,65",4,"105,29","12,36",Voľný,572579,497894
https://www.ceresne.sk/ponuka-bytov/byt/p11/,Residence,P11,1,"249,72",4,"103,73","145,99",Rezervovaný,-,-
https://www.ceresne.sk/ponuka-bytov/byt/s109/,UP,S109,1,"62,01",2,"43,78","18,23",Voľný,283829,258026
https://www.ceresne.sk/ponuka-bytov/byt/o17/,Residence,O17,1,"103,87",3,"71,20","32,67",Voľný,361264,316060
https://www.ceresne.sk/ponuka-bytov/byt/u314/,Plaza,U314,3,"67,10",3,"61,07","6,03",Voľný,332208,288876
https://www.ceresne.sk/ponuka-bytov/byt/r35/,Residence,R35,3,"84,09",3,"72,30","11,79",Rezervovaný,-,-
https://www.ceresne.sk/ponuka-bytov/byt/r29/,Residence,R29,2,"64,51",2,"58,59","5,92",Voľný,276899,257580
https://www.ceresne.sk/ponuka-bytov/byt/r411/,Residence,R411,4,"117,09",3,"84,75","32,34",Rezervovaný,-,-
https://www.ceresne.sk/ponuka-bytov/byt/t125/,Plaza,T125,12,"118,15",4,"105,79","12,36",Voľný,568780,494591
https://www.ceresne.sk/ponuka-bytov/byt/u183/,Plaza,U183,18,"103,17",4,"96,86","6,31",Voľný,531937,462554
https://www.ceresne.sk/ponuka-bytov/byt/s115/,UP,S115,1,"48,53",2,"46,10","2,43",Voľný,252779,229799
https://www.ceresne.sk/ponuka-bytov/byt/t21/,Plaza,T21,2,"50,57",2,"46,07","4,50",Voľný,267140,232296
https://www.ceresne.sk/ponuka-bytov/byt/t33/,Plaza,T33,3,"51,62",2,"46,08","5,54",Predrezervovaný,-,-
https://www.ceresne.sk/ponuka-bytov/byt/s513/,UP,S513,5,"51,38",2,"46,55","4,83",Voľný,269411,244919
https://www.ceresne.sk/ponuka-bytov/byt/r94/,Residence,R94,9,"37,83",1,"31,91","5,92",Voľný,198262,184430
https://www.ceresne.sk/ponuka-bytov/byt/r59/,Residence,R59,5,"112,51",3,"80,12","32,39",Predrezervovaný,-,-
https://www.ceresne.sk/ponuka-bytov/byt/u72/,Plaza,U72,7,"31,18",1,"28,58","2,60",Voľný,193486,168249
https://www.ceresne.sk/ponuka-bytov/byt/u310/,Plaza,U310,3,"52,72",1,"47,88","4,84",Voľný,263049,228739
https://www.ceresne.sk/ponuka-bytov/byt/u56/,Plaza,U56,5,"34,54",1,"31,31","3,23",Voľný,197393,171646
https://www.ceresne.sk/ponuka-bytov/byt/t121/,Plaza,T121,12,"107,24",4,"95,12","12,12",Voľný,493045,428735
https://www.ceresne.sk/ponuka-bytov/byt/t118/,Plaza,T118,11,"66,23",3,"60,93","5,30",Voľný,345130,300113
https://www.ceresne.sk/ponuka-bytov/byt/o2/,Residence,O2,0,"143,95",3,"78,25","65,70",Voľný,407864,359409
https://www.ceresne.sk/ponuka-bytov/byt/o1/,Residence,O1,0,"139,37",3,"83,03","56,34",Voľný,417764,368618
https://www.ceresne.sk/ponuka-bytov/byt/r101/,Residence,R101,10,"82,13",3,"70,30","11,83",Voľný,372504,326516
https://www.ceresne.sk/ponuka-bytov/byt/t214/,Plaza,T214,2,"47,75",2,"43,81","3,94",Voľný,268761,233705
https://www.ceresne.sk/ponuka-bytov/byt/o73/,Residence,O73,7,"38,78",1,"32,86","5,92",Voľný,195921,182252
https://www.ceresne.sk/ponuka-bytov/byt/o84/,Residence,O84,8,"232,98",5,"138,02","94,96",Voľný,691615,643363
https://www.ceresne.sk/ponuka-bytov/byt/r84/,Residence,R84,8,"37,83",1,"31,91","5,92",Voľný,196286,182592
https://www.ceresne.sk/ponuka-bytov/byt/p16/,Residence,P16,1,"85,66","1,5","38,55","47,11",Voľný,262240,243944
